club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
ADO Den Haag,Milan van Ewijk,18,Right-Back,Excelsior M,free transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Bilal Ould-Chikh,22,Right Winger,Denizlispor,free transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Michiel Kramer,30,Centre-Forward,FC Utrecht,free transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Pawel Cibicki,25,Left Winger,Leeds,loan transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Luuk Koopmans,25,Goalkeeper,PSV Eindhoven,loan transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Crysencio Summerville,17,Right Winger,Feyenoord U19,loan transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Lorenzo van Kleef,18,Right-Back,ADO U19,-,in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Dehninio Muringen,20,Centre-Back,ADO U21,-,in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Thom Haye,24,Defensive Midfield,Without Club,-,in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Aleksandar Bjelica,25,Centre-Back,Korona Kielce,loan transfer,in,Summer,NA,Eredivisie,2019,2019/2020
ADO Den Haag,Mike Havekotte,24,Goalkeeper,FC Dordrecht,"End of loanMay 5, 2020",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Robin Polley,21,Right-Back,FC Dordrecht,"End of loanMay 5, 2020",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Hennos Asmelash,19,Right-Back,TOP Oss,"End of loanJun 30, 2019",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Milan van Ewijk,19,Right-Back,SC Cambuur,"End of loanMay 5, 2020",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Nick Kuipers,26,Centre-Back,FC Emmen,"End of loanJun 30, 2019",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Delano Ladan,19,Centre-Forward,TOP Oss,"End of loanJun 30, 2019",in,Summer,0,Eredivisie,2019,2019/2020
ADO Den Haag,Nasser El Khayati,30,Attacking Midfield,Qatar SC,£1.53m,out,Summer,1.53,Eredivisie,2019,2019/2020
ADO Den Haag,Wilfried Kanon,26,Centre-Back,Pyramids FC,£540Th.,out,Summer,0.54,Eredivisie,2019,2019/2020
ADO Den Haag,Nick Kuipers,26,Centre-Back,PERSIB,free transfer,out,Summer,NA,Eredivisie,2019,2019/2020
