club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
SL Benfica,Raúl Jiménez,24,Centre-Forward,Atlético Madrid,£19.80m,in,19.8,Liga Nos,2015,2015/2016
SL Benfica,Luka Jovic,18,Centre-Forward,Apol. Limassol,£5.94m,in,5.94,Liga Nos,2015,2015/2016
SL Benfica,Mehdi Carcela-González,26,Right Winger,Standard Liège,£2.25m,in,2.25,Liga Nos,2015,2015/2016
SL Benfica,Alejandro Grimaldo,20,Left-Back,FC Barcelona B,£1.89m,in,1.89,Liga Nos,2015,2015/2016
SL Benfica,Konstantinos Mitroglou,27,Centre-Forward,Fulham,Loan fee:£720k,in,0.72,Liga Nos,2015,2015/2016
SL Benfica,Jhon Murillo,19,Left Winger,Zamora,£675k,in,0.675,Liga Nos,2015,2015/2016
SL Benfica,Ederson,21,Goalkeeper,Rio Ave FC,£450k,in,0.45,Liga Nos,2015,2015/2016
SL Benfica,Diego Lopes,21,Attacking Midfield,Rio Ave FC,£90k,in,0.09,Liga Nos,2015,2015/2016
SL Benfica,Adel Taarabt,26,Attacking Midfield,QPR,Free Transfer,in,0,Liga Nos,2015,2015/2016
SL Benfica,Marçal,26,Left-Back,Nacional,Free Transfer,in,0,Liga Nos,2015,2015/2016
SL Benfica,Pelé,23,Defensive Midfield,AC Milan,Free Transfer,in,0,Liga Nos,2015,2015/2016
SL Benfica,Yannick Djaló,29,Left Winger,Mordovia,"End of loanDec 31, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Hélder Costa,21,Right Winger,Benfica B,-,in,0,Liga Nos,2015,2015/2016
SL Benfica,Luis Fariña,24,Attacking Midfield,Rayo Vallecano,"End of loanJan 19, 2016",in,0,Liga Nos,2015,2015/2016
SL Benfica,Luís Felipe,25,Right-Back,Rio Claro FC,"End of loanMay 31, 2016",in,0,Liga Nos,2015,2015/2016
SL Benfica,Luís Felipe,24,Right-Back,Paysandu,"End of loanDec 31, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Victor Lindelöf,20,Centre-Back,Benfica B,-,in,0,Liga Nos,2015,2015/2016
SL Benfica,Jorge Rojas,23,Right Winger,Gimnasia,"End of loanJan 7, 2016",in,0,Liga Nos,2015,2015/2016
SL Benfica,Steven Vitória,28,Centre-Back,Philadelphia,"End of loanDec 31, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Nélson Semedo,21,Right-Back,Benfica B,-,in,0,Liga Nos,2015,2015/2016
SL Benfica,Victor Andrade,19,Right Winger,Benfica B,-,in,0,Liga Nos,2015,2015/2016
SL Benfica,Renato Sanches,18,Central Midfield,Benfica B,-,in,0,Liga Nos,2015,2015/2016
SL Benfica,Airton,25,Defensive Midfield,Botafogo,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Ivan Cavaleiro,21,Right Winger,Dep. La Coruña,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Rodrigo,24,Centre-Forward,Valencia,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Yannick Djaló,29,Left Winger,Mordovia,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,André Gomes,21,Central Midfield,Valencia,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Luis Fariña,24,Attacking Midfield,Dep. La Coruña,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Sidnei,25,Centre-Back,Dep. La Coruña,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Bebé,24,Left Winger,Córdoba CF,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Filip Djuricic,23,Left Winger,Southampton,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Rogelio Funes Mori,24,Centre-Forward,Eskisehirspor,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,João Cancelo,21,Right-Back,Valencia,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Nélson Oliveira,23,Centre-Forward,Swansea,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Daniel Candeias,27,Right Winger,Granada CF,"End of loanJun 30, 2015",in,0,Liga Nos,2015,2015/2016
SL Benfica,Rodrigo,24,Centre-Forward,Valencia,£27.00m,out,27,Liga Nos,2015,2015/2016
SL Benfica,André Gomes,21,Central Midfield,Valencia,£18.00m,out,18,Liga Nos,2015,2015/2016
SL Benfica,Ivan Cavaleiro,21,Right Winger,Monaco,£13.50m,out,13.5,Liga Nos,2015,2015/2016
SL Benfica,João Cancelo,21,Right-Back,Valencia,£13.50m,out,13.5,Liga Nos,2015,2015/2016
SL Benfica,Lima,32,Centre-Forward,Al-Ahli (UAE),£6.30m,out,6.3,Liga Nos,2015,2015/2016
SL Benfica,Sidnei,25,Centre-Back,Dep. La Coruña,£5.85m,out,5.85,Liga Nos,2015,2015/2016
SL Benfica,Rogelio Funes Mori,24,Centre-Forward,Monterrey,£3.24m,out,3.24,Liga Nos,2015,2015/2016
SL Benfica,Miralem Sulejmani,26,Left Midfield,BSC Young Boys,£2.70m,out,2.7,Liga Nos,2015,2015/2016
SL Benfica,Loris Benito,23,Left-Back,BSC Young Boys,£2.70m,out,2.7,Liga Nos,2015,2015/2016
SL Benfica,Filip Djuricic,23,Left Winger,RSC Anderlecht,Loan fee:£540k,out,0.54,Liga Nos,2015,2015/2016
SL Benfica,Derley,27,Centre-Forward,Kayserispor,Loan fee:£540k,out,0.54,Liga Nos,2015,2015/2016
SL Benfica,Maxi Pereira,31,Right-Back,FC Porto,Free Transfer,out,0,Liga Nos,2015,2015/2016
SL Benfica,Marçal,26,Left-Back,Gaziantepspor,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Bryan Cristante,20,Central Midfield,US Palermo,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Jhon Murillo,19,Left Winger,Tondela,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Yannick Djaló,29,Left Winger,Ratchaburi FC,Free Transfer,out,0,Liga Nos,2015,2015/2016
SL Benfica,César Martins,22,Centre-Back,Flamengo,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Luís Felipe,24,Right-Back,Rio Claro FC,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Artur Moraes,34,Goalkeeper,Osmanlispor,Free Transfer,out,0,Liga Nos,2015,2015/2016
SL Benfica,Diego Lopes,21,Attacking Midfield,Kayserispor,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Hélder Costa,21,Right Winger,Monaco,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Nélson Oliveira,24,Centre-Forward,Nottm Forest,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Yannick Djaló,29,Left Winger,Mordovia,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Ola John,23,Left Winger,Reading,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Luis Fariña,24,Attacking Midfield,U. de Chile,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Luis Fariña,24,Attacking Midfield,Rayo Vallecano,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Bebé,24,Left Winger,Rayo Vallecano,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Daniel Candeias,27,Right Winger,FC Metz,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Victor Andrade,20,Right Winger,Vit. Guimarães,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Pelé,23,Defensive Midfield,Paços Ferreira,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Rúben Amorim,30,Central Midfield,Al-Wakrah,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Hany Mukhtar,20,Attacking Midfield,RB Salzburg,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Jorge Rojas,23,Right Winger,Cerro Porteño,Loan,out,0,Liga Nos,2015,2015/2016
SL Benfica,Airton,25,Defensive Midfield,Without Club,-,out,0,Liga Nos,2015,2015/2016
SL Benfica,Jonathan Rodríguez,21,Centre-Forward,Peñarol,"End of loanJun 30, 2015",out,0,Liga Nos,2015,2015/2016
FC Porto,Giannelli Imbula,22,Defensive Midfield,Marseille,£18.00m,in,18,Liga Nos,2015,2015/2016
FC Porto,Jesús Corona,22,Right Midfield,FC Twente,£9.45m,in,9.45,Liga Nos,2015,2015/2016
