club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Zenit St. Petersburg,Domenico Criscito,24,Centre-Back,Genoa,£13.50m,in,Summer,13.5,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Sébastien Puygrenier,29,Centre-Back,Monaco,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Alessandro Rosina,27,Right Winger,Cesena,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Michael Lumb,23,Left-Back,Aalborg BK,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Sergey Kornilenko,28,Centre-Forward,Blackpool,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Sergey Kornilenko,28,Centre-Forward,KS Samara,£630Th.,out,Summer,0.63,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Fernando Meira,33,Centre-Back,Real Zaragoza,free transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Zenit St. Petersburg,Andrey Arshavin,31,Second Striker,Arsenal,"End of loanMay 31, 2012",out,Summer,0,Premier Liga,2011,2011/2012
Spartak Moscow,Emmanuel Emenike,24,Centre-Forward,Fenerbahce,£9.00m,in,Summer,9,Premier Liga,2011,2011/2012
Spartak Moscow,Demy de Zeeuw,28,Central Midfield,Ajax,£5.40m,in,Summer,5.4,Premier Liga,2011,2011/2012
Spartak Moscow,Artem Rebrov,27,Goalkeeper,Shinnik,£270Th.,in,Summer,0.27,Premier Liga,2011,2011/2012
Spartak Moscow,Stipe Pletikosa,32,Goalkeeper,Spurs,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Spartak Moscow,Malik Fathi,27,Left-Back,1.FSV Mainz 05,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Spartak Moscow,Cristian Maidana,24,Attacking Midfield,Huracán,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Spartak Moscow,Aleksandr Zotov,20,Central Midfield,Zhemchuzhina,"End of loanJun 30, 2011",in,Summer,0,Premier Liga,2011,2011/2012
Spartak Moscow,Ibson,27,Central Midfield,Santos FC,£4.50m,out,Summer,4.5,Premier Liga,2011,2011/2012
Spartak Moscow,Malik Fathi,27,Left-Back,1.FSV Mainz 05,£900Th.,out,Summer,0.9,Premier Liga,2011,2011/2012
Spartak Moscow,Aleksandr Belenov,24,Goalkeeper,Kuban Krasnodar,£315Th.,out,Summer,0.315,Premier Liga,2011,2011/2012
Spartak Moscow,Stipe Pletikosa,32,Goalkeeper,Rostov,free transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Spartak Moscow,Cristian Maidana,24,Attacking Midfield,Rangers Talca,free transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Spartak Moscow,Pavel Yakovlev,20,Left Winger,KS Samara,loan transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Spartak Moscow,Fedor Kudryashov,24,Centre-Back,Krasnodar,loan transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Spartak Moscow,Artur Valikaev,23,Defensive Midfield,Amkar Perm,loan transfer,out,Summer,NA,Premier Liga,2011,2011/2012
Spartak Moscow,Andrey Tikhonov,40,Attacking Midfield,Retired,-,out,Summer,0,Premier Liga,2011,2011/2012
