club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
NAC Breda,Nourdin Boukhari,31,Attacking Midfield,Kasimpasa,Free Transfer,in,0,Eredivisie,2011,2011/2012
NAC Breda,Stefano Seedorf,29,Central Midfield,Monza,Free Transfer,in,0,Eredivisie,2011,2011/2012
NAC Breda,Jordy Buijs,22,Centre-Back,De Graafschap,Free Transfer,in,0,Eredivisie,2011,2011/2012
NAC Breda,Eric Botteghin,23,Centre-Back,FC Zwolle,Free Transfer,in,0,Eredivisie,2011,2011/2012
NAC Breda,Mike Zonneveld,30,Left-Back,AEL Limassol,Free Transfer,in,0,Eredivisie,2011,2011/2012
NAC Breda,Jeffrey Sarpong,23,Left Winger,Real Sociedad,Loan,in,0,Eredivisie,2011,2011/2012
NAC Breda,Florian Jozefzoon,20,Right Winger,Ajax,Loan,in,0,Eredivisie,2011,2011/2012
NAC Breda,Roly Bonevacia,19,Central Midfield,Ajax,Loan,in,0,Eredivisie,2011,2011/2012
NAC Breda,Santi Kolk,29,Right Winger,Union Berlin,Loan,in,0,Eredivisie,2011,2011/2012
NAC Breda,Youssef El-Akchaoui,30,Left-Back,Heerenveen,Loan,in,0,Eredivisie,2011,2011/2012
NAC Breda,Mats Seuntjens,19,Central Midfield,NAC Breda U19,-,in,0,Eredivisie,2011,2011/2012
NAC Breda,Andreas Lasnik,27,Attacking Midfield,Without Club,-,in,0,Eredivisie,2011,2011/2012
NAC Breda,Alex Schalk,18,Centre-Forward,NAC Breda U19,-,in,0,Eredivisie,2011,2011/2012
NAC Breda,Matthew Amoah,31,Centre-Forward,Mersin IY,£405k,out,0.405,Eredivisie,2011,2011/2012
NAC Breda,Gino Mommers,23,Goalkeeper,IJsselm.vogels,Free Transfer,out,0,Eredivisie,2011,2011/2012
NAC Breda,Joonas Kolkka,36,Right Winger,Willem II,Free Transfer,out,0,Eredivisie,2011,2011/2012
NAC Breda,Fouad Idabdelhay,23,Centre-Forward,VfL Osnabrück,Free Transfer,out,0,Eredivisie,2011,2011/2012
NAC Breda,Csaba Fehér,35,Defensive Midfield,Újpest FC,Free Transfer,out,0,Eredivisie,2011,2011/2012
NAC Breda,Leonardo,28,Second Striker,RB Salzburg,Loan,out,0,Eredivisie,2011,2011/2012
NAC Breda,Pim Bouwman,21,Central Midfield,FC Inter,?,out,NA,Eredivisie,2011,2011/2012
NAC Breda,Nasser El Khayati,22,Attacking Midfield,Without Club,-,out,0,Eredivisie,2011,2011/2012
NAC Breda,Ferne Snoyl,26,Left-Back,Without Club,-,out,0,Eredivisie,2011,2011/2012
NAC Breda,Ali Boussaboun,32,Left Winger,Without Club,-,out,0,Eredivisie,2011,2011/2012
