club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
NAC Breda,Archil Arveladze,24,Centre-Forward,Trabzonspor,£450k,in,0.45,Eredivisie,1997,1997/1998
NAC Breda,Jeong-yun No,26,Centre-Forward,Sanf. Hiroshima,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Nebojsa Gudelj,27,Left-Back,CD Toledo,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Alfred Schreuder,24,Defensive Midfield,RKC Waalwijk,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,John Feskens,31,Midfielder,Willem II,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Rade Bogdanovic,27,Centre-Forward,Atlético Madrid,Loan,in,0,Eredivisie,1997,1997/1998
NAC Breda,Erwin van de Looi,25,Centre-Back,Vitesse,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Kevin Van Dessel,18,Left Midfield,Germinal Ekeren,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Bart De Roover,29,Centre-Back,Lierse SK,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Ante Milicic,23,Centre-Forward,Sydney United,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Glenn Helder,28,Left Winger,Arsenal,?,in,NA,Eredivisie,1997,1997/1998
NAC Breda,Frank Broers,19,Left-Back,NAC Breda U19,-,in,0,Eredivisie,1997,1997/1998
NAC Breda,François Gesthuizen,24,Right Midfield,Fortuna Sittard,Free Transfer,out,0,Eredivisie,1997,1997/1998
NAC Breda,Barry van Galen,27,Central Midfield,AZ Alkmaar,Free Transfer,out,0,Eredivisie,1997,1997/1998
NAC Breda,Mark Minnaert,21,Midfielder,Hoek,Free Transfer,out,0,Eredivisie,1997,1997/1998
NAC Breda,Tony Vidmar,27,Left-Back,Rangers,Free Transfer,out,0,Eredivisie,1997,1997/1998
NAC Breda,Björn Langeveld,19,Defender,ADO Den Haag,?,out,NA,Eredivisie,1997,1997/1998
NAC Breda,Jean-Claude Mukanya,29,Defender,Eendracht Aalst,?,out,NA,Eredivisie,1997,1997/1998
NAC Breda,Pascal Beeken,23,Goalkeeper,KV Mechelen,?,out,NA,Eredivisie,1997,1997/1998
NAC Breda,Nico Jalink,33,Right Midfield,Sparta R.,?,out,NA,Eredivisie,1997,1997/1998
NAC Breda,Paulo Da Costa Tavares,18,Midfielder,Unknown,?,out,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Bob Peeters,23,Centre-Forward,Lierse SK,Free Transfer,in,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Stephan 't Hart,26,Defender,Scheveningen,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Nenad Miskovic,21,Left Midfield,Rad Belgrade,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Mariusz Kukielka,20,Centre-Back,GKS Belchatow,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Gábor Torma,20,Centre-Forward,Cercle Brugge,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Rastislav Mores,21,Midfielder,NEC Nijmegen,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Bernard Samuel Tchoutang,21,Left Winger,KRC Genk,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Joos Valgaeren,21,Centre-Back,KV Mechelen,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Nikola Damjanac,25,Goalkeeper,Partizan,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Edwin Grünholz,28,Forward,ADO Den Haag,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Igor Tomasic,20,Centre-Back,Croatia Zagreb,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Jörg Kässmann,28,Goalkeeper,Bor. M'gladbach,?,in,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Gregory Delwarte,19,Goalkeeper,Roda JC U19,-,in,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Gerald Sibon,23,Centre-Forward,Ajax,£2.03m,out,2.03,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Ruud Hesp,31,Goalkeeper,FC Barcelona,£990k,out,0.99,Eredivisie,1997,1997/1998
Roda JC Kerkrade,André Ooijer,23,Centre-Back,PSV Eindhoven,£405k,out,0.405,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Henri Heeren,22,Right-Back,Alem. Aachen,Free Transfer,out,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Hans Spillmann,28,Goalkeeper,MVV Maastricht,Loan,out,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Piotr Kasperski,25,Midfielder,Amica Wronki,?,out,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Jan-Pieter Martens,23,Attacking Midfield,Sturm Graz,?,out,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Mark Luijpers,26,Centre-Back,MVV Maastricht,Loan,out,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Maarten Schops,21,Defensive Midfield,RKC Waalwijk,Loan,out,0,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Nenad Miskovic,22,Left Midfield,Proleter Zrenj.,?,out,NA,Eredivisie,1997,1997/1998
Roda JC Kerkrade,Stephan Van der Heyden,28,Left Midfield,LOSC Lille,?,out,NA,Eredivisie,1997,1997/1998
