club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Rayo Vallecano,Ángel Ferez,26,Goalkeeper,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Hernán Medford,24,Centre-Forward,Foggia,?,out,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Ricardo Gallego,33,Defensive Midfield,Retired,-,out,0,Primera Division,1992,1992/1993
Rayo Vallecano,Ángel Sánchez Candil,29,Midfielder,Retired,-,out,0,Primera Division,1992,1992/1993
Rayo Vallecano,Rafael García Cortés,34,Left-Back,Retired,-,out,0,Primera Division,1992,1992/1993
Sevilla FC,Ricardo Bango,23,Midfielder,Real Oviedo,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Losada,24,Forward,Atlético Madrid,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Diego Simeone,22,Central Midfield,AC Pisa,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Diego Maradona,31,Attacking Midfield,Without Club,-,in,0,Primera Division,1992,1992/1993
Sevilla FC,Iván Zamorano,25,Centre-Forward,Real Madrid,£3.15m,out,3.15,Primera Division,1992,1992/1993
Sevilla FC,Fernando Peralta,31,Goalkeeper,CD Castellón,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Ramón,28,Centre-Forward,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Zeljko Petrovic,26,Right-Back,FC Den Bosch,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Pablo Bengoechea,27,Attacking Midfield,Gimnasia,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Pascual Llopis,24,Right-Back,Villarreal,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,José Antonio Salguero,32,Centre-Back,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Iván Zamorano,25,Centre-Forward,Sevilla FC,£3.15m,in,3.15,Primera Division,1992,1992/1993
Real Madrid,Nando,24,Centre-Back,FC Barcelona,?,in,NA,Primera Division,1992,1992/1993
Real Madrid,Luis Miguel Ramis,21,Centre-Back,Real Madrid B,-,in,0,Primera Division,1992,1992/1993
Real Madrid,Juanmi,21,Goalkeeper,Real Madrid B,-,in,0,Primera Division,1992,1992/1993
Real Madrid,Ismael Urzaiz,20,Centre-Forward,Albacete,"End of loanJun 30, 1992",in,0,Primera Division,1992,1992/1993
Real Madrid,Santiago Cañizares,22,Goalkeeper,Mérida UD,"End of loanJun 30, 1992",in,0,Primera Division,1992,1992/1993
Real Madrid,Gheorghe Hagi,27,Attacking Midfield,Brescia,£1.80m,out,1.8,Primera Division,1992,1992/1993
Real Madrid,Ismael Urzaiz,20,Centre-Forward,Celta de Vigo,Loan,out,0,Primera Division,1992,1992/1993
Real Madrid,Miguel Tendillo,31,Centre-Back,Burgos CF,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Santiago Cañizares,22,Goalkeeper,Celta de Vigo,Loan,out,0,Primera Division,1992,1992/1993
Real Madrid,Ricardo Rocha,29,Centre-Back,Santos FC,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Adolfo Aldana,26,Right Midfield,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Hugo Sánchez,33,Centre-Forward,América,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Rafael Gordillo,35,Left-Back,Real Betis,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Julen Guerrero,18,Attacking Midfield,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
Athletic Bilbao,Carlos García,21,Defensive Midfield,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
