club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Paris Saint-Germain,Martín Cardetti,28,Centre-Forward,Real Valladolid,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Paris Saint-Germain,Gabriel Heinze,26,Centre-Back,Man Utd,£9.00m,out,Summer,9,Ligue 1,2004,2004/2005
Paris Saint-Germain,Fabrice Fiorèse,29,Right Winger,Marseille,£2.70m,out,Summer,2.7,Ligue 1,2004,2004/2005
Paris Saint-Germain,Didier Domi,26,Left-Back,Espanyol,£1.35m,out,Summer,1.35,Ligue 1,2004,2004/2005
Paris Saint-Germain,Talal El Karkouri,27,Centre-Back,Charlton,£1.35m,out,Summer,1.35,Ligue 1,2004,2004/2005
Paris Saint-Germain,Lionel Potillon,30,Left-Back,FC Sochaux,£900Th.,out,Summer,0.9,Ligue 1,2004,2004/2005
Paris Saint-Germain,Rabiu Baita,19,attack,FC National,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Chiguy Lucau,19,Right Winger,Le Mans UC 72,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Frédéric Déhu,31,Centre-Back,Marseille,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Hugo Leal,24,Central Midfield,FC Porto,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Martín Cardetti,28,Centre-Forward,Racing Club,?,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Franck Dja Djédjé,18,Right Winger,Stade Brestois,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Romain Rocchi,22,Defensive Midfield,SC Bastia,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Alioune Touré,25,Right Winger,Guingamp,loan transfer,out,Summer,NA,Ligue 1,2004,2004/2005
Paris Saint-Germain,Juan Pablo Sorín,28,Left-Back,Cruzeiro,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
Paris Saint-Germain,Habibou Traoré,20,Attacking Midfield,FC Gueugnon,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
Paris Saint-Germain,Stéphane Pédron,32,Left Midfield,Lens,"End of loanJun 30, 2003",out,Summer,0,Ligue 1,2004,2004/2005
Paris Saint-Germain,Éric Cubilier,24,Right-Back,Monaco,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
Paris Saint-Germain,José-Karl Pierre-Fanfan,28,Centre-Back,Monaco,"End of loanJun 30, 2004",out,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Javier Chevantón,23,Centre-Forward,Lecce,£9.00m,in,Summer,9,Ligue 1,2004,2004/2005
AS Monaco,Mohamed Kallon,24,Centre-Forward,Inter,£4.50m,in,Summer,4.5,Ligue 1,2004,2004/2005
AS Monaco,Maicon,22,Right-Back,Cruzeiro,£2.70m,in,Summer,2.7,Ligue 1,2004,2004/2005
AS Monaco,Diego Pérez,24,Defensive Midfield,Peñarol,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,François Modesto,25,Centre-Back,Cagliari Calcio,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Javier Saviola,22,Second Striker,Barcelona,loan transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Fabien Audard,26,Goalkeeper,FC Lorient,loan transfer,in,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Marko Muslin,19,Defensive Midfield,Monaco B,-,in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,David Gigliotti,19,Centre-Forward,Monaco B,-,in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Antoine Grauss,19,Left Midfield,Monaco B,-,in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Philippe Léonard,30,Left-Back,OGC Nice,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Djibril Sidibé,22,Defensive Midfield,LB Châteauroux,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Sébastien Carole,22,Right Winger,LB Châteauroux,"End of loanMay 1, 2005",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Sébastien Carole,21,Right Winger,West Ham,"End of loanJun 1, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Souleymane Camara,21,Right Winger,Guingamp,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Grégory Lacombe,22,Right Winger,AC Ajaccio,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Éric Cubilier,24,Right-Back,Paris SG,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Pontus Farnerud,24,Central Midfield,R. Strasbourg,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,José-Karl Pierre-Fanfan,28,Centre-Back,Paris SG,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
AS Monaco,Jérôme Rothen,26,Left Midfield,Paris SG,£9.00m,out,Summer,9,Ligue 1,2004,2004/2005
AS Monaco,Ludovic Giuly,27,Right Winger,Barcelona,£7.65m,out,Summer,7.65,Ligue 1,2004,2004/2005
AS Monaco,Stéphane Porato,30,Goalkeeper,AC Ajaccio,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Nicolas Raynier,20,Centre-Forward,LOSC Lille,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Tony Sylva,29,Goalkeeper,LOSC Lille,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
AS Monaco,Dado Prso,29,Centre-Forward,Rangers,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
