club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
PSV Eindhoven,Klaas-Jan Huntelaar,20,Centre-Forward,AGOVV,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Jelle ten Rouwelaar,23,Goalkeeper,Twente FC,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Lindsay Wilson,25,Left Midfield,FC Volendam,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Spase Dilevski,19,Defensive Midfield,RW Essen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Adil Ramzi,26,Left Midfield,Twente FC,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Michael Lamey,24,Right-Back,FC Utrecht,"End of loanJul 1, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Arjen Robben,20,Right Winger,Chelsea,£16.20m,out,Summer,16.2,Eredivisie,2004,2004/2005
PSV Eindhoven,Mateja Kezman,25,Centre-Forward,Chelsea,£6.75m,out,Summer,6.75,Eredivisie,2004,2004/2005
PSV Eindhoven,Dennis Rommedahl,25,Right Winger,Charlton,£3.15m,out,Summer,3.15,Eredivisie,2004,2004/2005
PSV Eindhoven,Kevin Hofland,25,Centre-Back,VfL Wolfsburg,£1.80m,out,Summer,1.8,Eredivisie,2004,2004/2005
PSV Eindhoven,Klaas-Jan Huntelaar,20,Centre-Forward,Heerenveen,£810Th.,out,Summer,0.81,Eredivisie,2004,2004/2005
PSV Eindhoven,Adil Ramzi,27,Left Midfield,AZ Alkmaar,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Rob van Dijk,35,Goalkeeper,De Graafschap,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Ronald Waterreus,33,Goalkeeper,Man City,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Edson,20,Centre-Forward,Spurs,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Daniel Guijo-Velasco,20,Attacking Midfield,AGOVV,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Jürgen Colin,23,Centre-Back,NAC Breda,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Jelle ten Rouwelaar,23,Goalkeeper,FC Zwolle,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Lindsay Wilson,25,Left Midfield,Helmond Sport,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Yves Lenaerts,21,Goalkeeper,Heusden-Zolder,?,out,Summer,NA,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Bart Goor,31,Left Midfield,Hertha BSC,£900Th.,in,Summer,0.9,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Gerson Magrão,19,Left Midfield,Cruzeiro,£720Th.,in,Summer,0.72,Eredivisie,2004,2004/2005
Feyenoord Rotterdam,Karim Saïdi,21,Centre-Back,Club Africain,£189Th.,in,Summer,0.189,Eredivisie,2004,2004/2005
