club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Bayern Munich,Lúcio,26,Centre-Back,Bay. Leverkusen,£10.80m,in,10.8,1 Bundesliga,2004,2004/2005
Bayern Munich,Torsten Frings,27,Defensive Midfield,Bor. Dortmund,£8.33m,in,8.33,1 Bundesliga,2004,2004/2005
Bayern Munich,Andreas Görlitz,22,Right-Back,1860 Munich,£2.25m,in,2.25,1 Bundesliga,2004,2004/2005
Bayern Munich,Vahid Hashemian,27,Centre-Forward,VfL Bochum,£1.80m,in,1.8,1 Bundesliga,2004,2004/2005
Bayern Munich,Bixente Lizarazu,35,Left-Back,Marseille,Free Transfer,in,0,1 Bundesliga,2004,2004/2005
Bayern Munich,Paolo Guerrero,20,Centre-Forward,FC Bayern II,-,in,0,1 Bundesliga,2004,2004/2005
Bayern Munich,Piotr Trochowski,20,Attacking Midfield,Hamburger SV,£900k,out,0.9,1 Bundesliga,2004,2004/2005
Bayern Munich,Bixente Lizarazu,34,Left-Back,Marseille,Free Transfer,out,0,1 Bundesliga,2004,2004/2005
Bayern Munich,Christian Lell,19,Right-Back,1. FC Köln,Loan fee:£23k,out,0.023,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Ebi Smolarek,23,Centre-Forward,Feyenoord,Loan,in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Marc-André Kruska,17,Central Midfield,B. Dortmund U17,-,in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Sascha Rammel,19,Attacking Midfield,B. Dortmund II,-,in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Juan Fernández,24,Right-Back,River Plate,"End of loanDec 31, 2004",in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Markus Brzenska,20,Centre-Back,B. Dortmund II,-,in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Conor Casey,22,Centre-Forward,Karlsruher SC,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Sunday Oliseh,29,Defensive Midfield,VfL Bochum,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Florian Kringe,21,Central Midfield,1. FC Köln,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Emmanuel Krontiris,21,Centre-Forward,Alem. Aachen,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Torsten Frings,27,Defensive Midfield,Bayern Munich,£8.33m,out,8.33,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Conor Casey,23,Centre-Forward,1.FSV Mainz 05,£450k,out,0.45,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Emmanuel Krontiris,21,Centre-Forward,1860 Munich,£360k,out,0.36,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Thiago,20,Forward,LA Galaxy,Free Transfer,out,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Sahr Senesie,19,Centre-Forward,Grasshoppers,Loan,out,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Heiko Herrlich,32,Centre-Forward,Retired,-,out,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Stefan Reuter,37,Right Midfield,Retired,-,out,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Léandro,27,Left Midfield,Atlético-MG,"End of loanJun 30, 2004",out,0,1 Bundesliga,2004,2004/2005
Borussia Dortmund,Flávio Conceição,30,Central Midfield,Real Madrid,"End of loanJun 30, 2004",out,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Paul Freier,24,Right Midfield,VfL Bochum,£3.15m,in,3.15,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Tranquillo Barnetta,19,Attacking Midfield,FC St. Gallen,£225k,in,0.225,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Roque Júnior,27,Centre-Back,AC Milan,Free Transfer,in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Jacek Krzynowek,28,Left Midfield,1.FC Nuremberg,Free Transfer,in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Andrii Voronin,24,Second Striker,1. FC Köln,?,in,NA,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Gonzalo Castro,17,Central Midfield,Leverkusen U19,-,in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Landon Donovan,22,Second Striker,Quakes,"End of loanDec 31, 2004",in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Sascha Dum,18,Left Midfield,Leverkusen U19,-,in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Sezer Öztürk,18,Attacking Midfield,Leverkusen II,-,in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Anel Dzaka,23,Attacking Midfield,VfL Osnabrück,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Markus Daun,23,Centre-Forward,Werder Bremen,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
Bayer 04 Leverkusen,Jan Simak,25,Attacking Midfield,Hannover 96,"End of loanJun 30, 2004",in,0,1 Bundesliga,2004,2004/2005
