club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
LOSC Lille,Amadou Onana,20,Defensive Midfield,Hamburger SV,£6.30m,in,Summer,6.3,Ligue 1,2021,2021/2022
LOSC Lille,Gabriel Gudmundsson,22,Left-Back,FC Groningen,£5.40m,in,Summer,5.4,Ligue 1,2021,2021/2022
LOSC Lille,Ivo Grbic,25,Goalkeeper,Atlético Madrid,loan transfer,in,Summer,NA,Ligue 1,2021,2021/2022
LOSC Lille,Léo Jardim,26,Goalkeeper,Boavista,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Adama Soumaoro,29,Centre-Back,Bologna,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Cheikh Niasse,21,Defensive Midfield,Panathinaikos,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Kouadio-Yves Dabila,24,Centre-Back,Mouscron,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Adam Jakubech,24,Goalkeeper,KV Kortrijk,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Angel Gomes,21,Attacking Midfield,Boavista,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Hervé Koffi,24,Goalkeeper,Mouscron,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Jean Onana,21,Defensive Midfield,Mouscron,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Rominigue Kouamé,24,Central Midfield,Troyes,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Scotty Sadzoute,23,Left-Back,Pau FC,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
LOSC Lille,Boubakary Soumaré,22,Defensive Midfield,Leicester,£18.00m,out,Summer,18,Ligue 1,2021,2021/2022
LOSC Lille,Mike Maignan,26,Goalkeeper,AC Milan,£11.70m,out,Summer,11.7,Ligue 1,2021,2021/2022
LOSC Lille,Luiz Araújo,25,Right Winger,Atlanta United,£9.82m,out,Summer,9.82,Ligue 1,2021,2021/2022
LOSC Lille,Rominigue Kouamé,24,Central Midfield,Troyes,£2.25m,out,Summer,2.25,Ligue 1,2021,2021/2022
LOSC Lille,Adama Soumaoro,29,Centre-Back,Bologna,£2.25m,out,Summer,2.25,Ligue 1,2021,2021/2022
LOSC Lille,Jean Onana,21,Defensive Midfield,G. Bordeaux,£1.80m,out,Summer,1.8,Ligue 1,2021,2021/2022
LOSC Lille,Hervé Koffi,24,Goalkeeper,RSC Charleroi,£450Th.,out,Summer,0.45,Ligue 1,2021,2021/2022
LOSC Lille,Scotty Sadzoute,23,Left-Back,OH Leuven,?,out,Summer,NA,Ligue 1,2021,2021/2022
LOSC Lille,Lucas Chevalier,19,Goalkeeper,Valenciennes FC,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
LOSC Lille,Kouadio-Yves Dabila,24,Centre-Back,LOSC Lille B,-,out,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Achraf Hakimi,22,Right-Back,Inter,£54.00m,in,Summer,54,Ligue 1,2021,2021/2022
Paris Saint-Germain,Danilo Pereira,29,Defensive Midfield,FC Porto,£14.40m,in,Summer,14.4,Ligue 1,2021,2021/2022
Paris Saint-Germain,Nuno Mendes,19,Left-Back,Sporting CP,Loan fee:£6.30m,in,Summer,6.3,Ligue 1,2021,2021/2022
Paris Saint-Germain,Gianluigi Donnarumma,22,Goalkeeper,AC Milan,free transfer,in,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Lionel Messi,34,Right Winger,Barcelona,free transfer,in,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Georginio Wijnaldum,30,Central Midfield,Liverpool,free transfer,in,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Sergio Ramos,35,Centre-Back,Real Madrid,free transfer,in,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Nathan Bitumazala,18,Defensive Midfield,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Teddy Alloh,19,Left-Back,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Ismaël Gharbi,17,Attacking Midfield,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Anfane Ahamada,19,Defensive Midfield,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Thierno Baldé,19,Right-Back,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Denis Franchi,18,Goalkeeper,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Kenny Nagera,19,Centre-Forward,Paris SG U19,-,in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Bandiougou Fadiga,20,Attacking Midfield,Stade Brest 29,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Marcin Bulka,21,Goalkeeper,LB Châteauroux,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Arnaud Kalimuendo,19,Centre-Forward,Lens,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Garissone Innocent,21,Goalkeeper,SM Caen,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Alphonse Areola,28,Goalkeeper,Fulham,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Junior Dina Ebimbe,20,Central Midfield,Dijon,"End of loanJun 30, 2021",in,Summer,0,Ligue 1,2021,2021/2022
Paris Saint-Germain,Mitchel Bakker,21,Left-Back,Bay. Leverkusen,£6.30m,out,Summer,6.3,Ligue 1,2021,2021/2022
Paris Saint-Germain,Alphonse Areola,28,Goalkeeper,West Ham,Loan fee:£1.80m,out,Summer,1.8,Ligue 1,2021,2021/2022
Paris Saint-Germain,Kays Ruiz-Atil,19,Central Midfield,Barcelona B,free transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Thierno Baldé,19,Right-Back,AC Le Havre,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Timothée Pembélé,18,Centre-Back,G. Bordeaux,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Garissone Innocent,21,Goalkeeper,Vannes,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Kenny Nagera,19,Centre-Forward,SC Bastia,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Marcin Bulka,21,Goalkeeper,OGC Nice,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Arnaud Kalimuendo,19,Centre-Forward,Lens,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Pablo Sarabia,29,Right Winger,Sporting CP,loan transfer,out,Summer,NA,Ligue 1,2021,2021/2022
Paris Saint-Germain,Danilo Pereira,29,Defensive Midfield,FC Porto,"End of loanJun 30, 2021",out,Summer,0,Ligue 1,2021,2021/2022
