club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Real Madrid,Martin Ödegaard,21,Attacking Midfield,Real Sociedad,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Takefusa Kubo,19,Right Winger,RCD Mallorca,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Jesús Vallejo,24,Centre-Back,Granada CF,"End of loanJun 30, 2021",in,0,Primera Division,2020,2020/2021
Real Madrid,Sergio Reguilón,23,Left-Back,Sevilla FC,"End of loanAug 22, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Fran García,20,Left-Back,RM Castilla,-,in,0,Primera Division,2020,2020/2021
Real Madrid,Achraf Hakimi,21,Right Midfield,Bor. Dortmund,"End of loanJun 30, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Álvaro Odriozola,24,Right-Back,Bayern Munich,"End of loanAug 24, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Jorge de Frutos,23,Right Winger,Rayo Vallecano,"End of loanJul 21, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Andriy Lunin,21,Goalkeeper,Real Oviedo,"End of loanJul 21, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Alberto Soro,21,Right Winger,Real Zaragoza,"End of loanAug 17, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Borja Mayoral,23,Centre-Forward,Levante,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Javi Sánchez,23,Centre-Back,Real Valladolid,"End of loanJun 30, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Dani Gómez,21,Centre-Forward,CD Tenerife,"End of loanJul 21, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Luca Zidane,22,Goalkeeper,Racing,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Óscar Rodríguez,22,Attacking Midfield,CD Leganés,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Jesús Vallejo,23,Centre-Back,Granada CF,"End of loanJul 20, 2020",in,0,Primera Division,2020,2020/2021
Real Madrid,Achraf Hakimi,21,Right Midfield,Inter,£36.00m,out,36,Primera Division,2020,2020/2021
Real Madrid,Óscar Rodríguez,22,Attacking Midfield,Sevilla FC,£12.15m,out,12.15,Primera Division,2020,2020/2021
Real Madrid,Javi Sánchez,23,Centre-Back,Real Valladolid,£2.70m,out,2.7,Primera Division,2020,2020/2021
Real Madrid,Jorge de Frutos,23,Right Winger,Levante,£2.25m,out,2.25,Primera Division,2020,2020/2021
Real Madrid,Dani Gómez,22,Centre-Forward,Levante,£2.25m,out,2.25,Primera Division,2020,2020/2021
Real Madrid,Takefusa Kubo,19,Right Winger,Villarreal,Loan fee:£2.25m,out,2.25,Primera Division,2020,2020/2021
Real Madrid,Alberto Soro,21,Right Winger,Granada CF,£2.25m,out,2.25,Primera Division,2020,2020/2021
Real Madrid,Brahim Díaz,21,Attacking Midfield,AC Milan,Loan,out,0,Primera Division,2020,2020/2021
Real Madrid,James Rodríguez,29,Attacking Midfield,Everton,Free transfer,out,0,Primera Division,2020,2020/2021
Real Madrid,Fran García,21,Left-Back,Rayo Vallecano,Loan,out,0,Primera Division,2020,2020/2021
Real Madrid,Jesús Vallejo,23,Centre-Back,Granada CF,Loan,out,0,Primera Division,2020,2020/2021
Real Madrid,Reinier,18,Attacking Midfield,Bor. Dortmund,Loan,out,0,Primera Division,2020,2020/2021
Real Madrid,Luca Zidane,22,Goalkeeper,Without Club,-,out,0,Primera Division,2020,2020/2021
Real Madrid,Alphonse Areola,27,Goalkeeper,Paris SG,"End of loanAug 11, 2020",out,0,Primera Division,2020,2020/2021
FC Barcelona,Miralem Pjanic,30,Defensive Midfield,Juventus,£54.00m,in,54,Primera Division,2020,2020/2021
FC Barcelona,Trincão,20,Right Winger,Braga,£27.90m,in,27.9,Primera Division,2020,2020/2021
FC Barcelona,Matheus Fernandes,22,Defensive Midfield,Palmeiras,£6.30m,in,6.3,Primera Division,2020,2020/2021
