club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Olympique Lyon,Abdul Kader Keita,25,Right Winger,LOSC Lille,£15.12m,in,15.12,Ligue 1,2007,2007/2008
Olympique Lyon,Fabio Grosso,29,Left-Back,Inter,£7.83m,in,7.83,Ligue 1,2007,2007/2008
Olympique Lyon,Mathieu Bodmer,24,Defensive Midfield,LOSC Lille,£6.12m,in,6.12,Ligue 1,2007,2007/2008
Olympique Lyon,César Delgado,26,Right Winger,CD Cruz Azul,£5.67m,in,5.67,Ligue 1,2007,2007/2008
Olympique Lyon,Anderson,27,Centre-Back,Benfica,£3.87m,in,3.87,Ligue 1,2007,2007/2008
Olympique Lyon,Nadir Belhadj,25,Left-Back,CS Sedan,£2.97m,in,2.97,Ligue 1,2007,2007/2008
Olympique Lyon,Jean-Alain Boumsong,28,Centre-Back,Juventus,£2.88m,in,2.88,Ligue 1,2007,2007/2008
Olympique Lyon,Frédéric Roux,34,Goalkeeper,AC Ajaccio,Free Transfer,in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Marc Crosas,19,Defensive Midfield,FC Barcelona,Loan,in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Sandy Paillot,20,Centre-Back,Olymp. Lyon B,-,in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Mickaël Charvet,19,Centre-Back,Olymp. Lyon B,-,in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Milan Baros,26,Centre-Forward,Portsmouth,"End of loanMay 31, 2008",in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Anthony Mounier,19,Left Winger,Olymp. Lyon B,-,in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Yacine Hima,23,Central Midfield,FC Aarau,"End of loanJun 30, 2007",in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Rémy Riou,19,Goalkeeper,FC Lorient,"End of loanJun 30, 2007",in,0,Ligue 1,2007,2007/2008
Olympique Lyon,Florent Malouda,27,Left Winger,Chelsea,£17.10m,out,17.1,Ligue 1,2007,2007/2008
Olympique Lyon,Éric Abidal,27,Left-Back,FC Barcelona,£13.50m,out,13.5,Ligue 1,2007,2007/2008
Olympique Lyon,Tiago,26,Central Midfield,Juventus,£11.70m,out,11.7,Ligue 1,2007,2007/2008
Olympique Lyon,Alou Diarra,25,Defensive Midfield,G. Bordeaux,£6.66m,out,6.66,Ligue 1,2007,2007/2008
Olympique Lyon,Nadir Belhadj,25,Left-Back,Lens,£3.15m,out,3.15,Ligue 1,2007,2007/2008
Olympique Lyon,Jérémy Berthod,23,Left-Back,Monaco,£2.16m,out,2.16,Ligue 1,2007,2007/2008
Olympique Lyon,Sylvain Wiltord,33,Second Striker,Stade Rennais,£1.44m,out,1.44,Ligue 1,2007,2007/2008
Olympique Lyon,Rémy Riou,19,Goalkeeper,AJ Auxerre,£720k,out,0.72,Ligue 1,2007,2007/2008
Olympique Lyon,Sandy Paillot,20,Centre-Back,Grenoble,Loan fee:£450k,out,0.45,Ligue 1,2007,2007/2008
Olympique Lyon,Grégory Bettiol,21,Centre-Forward,Troyes,£270k,out,0.27,Ligue 1,2007,2007/2008
Olympique Lyon,Caçapa,31,Centre-Back,Newcastle,Free Transfer,out,0,Ligue 1,2007,2007/2008
Olympique Lyon,Loïc Rémy,21,Centre-Forward,Lens,Loan,out,0,Ligue 1,2007,2007/2008
Olympique Lyon,Sylvain Idangar,23,Left Winger,Al-Watani,Free Transfer,out,0,Ligue 1,2007,2007/2008
Olympique Lyon,Mourad Benhamida,21,Right-Back,Montpellier,Free Transfer,out,0,Ligue 1,2007,2007/2008
