club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Leicester City,Islam Slimani,28,Centre-Forward,Sporting CP,£27.90m,in,Summer,27.9,Premier League,2016,2016/2017
Leicester City,Ahmed Musa,23,Right Winger,CSKA Moscow,£17.55m,in,Summer,17.55,Premier League,2016,2016/2017
Leicester City,Nampalys Mendy,24,Defensive Midfield,OGC Nice,£13.95m,in,Summer,13.95,Premier League,2016,2016/2017
Leicester City,Bartosz Kapustka,19,Attacking Midfield,Cracovia,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Leicester City,Ron-Robert Zieler,27,Goalkeeper,Hannover 96,£3.15m,in,Summer,3.15,Premier League,2016,2016/2017
Leicester City,Luis Hernández,27,Centre-Back,Sporting Gijón,free transfer,in,Summer,NA,Premier League,2016,2016/2017
Leicester City,Callum Elder,21,Left-Back,Leicester U23,-,in,Summer,0,Premier League,2016,2016/2017
Leicester City,Tom Lawrence,23,Left Winger,Ipswich,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Leicester City,Yohan Benalouane,29,Centre-Back,Fiorentina,"End of loanJun 30, 2016",in,Summer,0,Premier League,2016,2016/2017
Leicester City,Matty James,25,Central Midfield,Barnsley FC,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Leicester City,Callum Elder,22,Left-Back,Barnsley FC,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Leicester City,Andrej Kramaric,25,Second Striker,TSG Hoffenheim,"End of loanJun 30, 2016",in,Summer,0,Premier League,2016,2016/2017
Leicester City,N'Golo Kanté,25,Defensive Midfield,Chelsea,£32.22m,out,Summer,32.22,Premier League,2016,2016/2017
Leicester City,Andrej Kramaric,25,Second Striker,TSG Hoffenheim,£9.90m,out,Summer,9.9,Premier League,2016,2016/2017
Leicester City,Ritchie De Laet,27,Centre-Back,Aston Villa,£2.07m,out,Summer,2.07,Premier League,2016,2016/2017
Leicester City,Liam Moore,23,Centre-Back,Reading,£1.04m,out,Summer,1.04,Premier League,2016,2016/2017
Leicester City,Jonny Maddison,21,Goalkeeper,Yeovil Town,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Gökhan Inler,32,Defensive Midfield,Besiktas,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Jacob Blyth,23,Centre-Forward,Motherwell FC,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Dean Hammond,33,Central Midfield,Sheff Utd,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Ryan Watson,22,Defensive Midfield,Barnet,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Paul Konchesky,35,Left-Back,Gillingham FC,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Michael Cain,22,Central Midfield,Blackpool,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Callum Elder,21,Left-Back,Brentford,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Tom Lawrence,22,Left Winger,Ipswich,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Leicester City,Mark Schwarzer,43,Goalkeeper,Retired,-,out,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Granit Xhaka,23,Defensive Midfield,Bor. M'gladbach,£40.50m,in,Summer,40.5,Premier League,2016,2016/2017
Arsenal FC,Shkodran Mustafi,24,Centre-Back,Valencia,£36.90m,in,Summer,36.9,Premier League,2016,2016/2017
Arsenal FC,Lucas Pérez,27,Centre-Forward,Dep. La Coruña,£18.00m,in,Summer,18,Premier League,2016,2016/2017
Arsenal FC,Takuma Asano,21,Right Winger,Sanf. Hiroshima,£3.60m,in,Summer,3.6,Premier League,2016,2016/2017
Arsenal FC,Rob Holding,20,Centre-Back,Bolton,£2.70m,in,Summer,2.7,Premier League,2016,2016/2017
Arsenal FC,Calum Chambers,22,Right-Back,Middlesbrough,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Jack Wilshere,25,Central Midfield,Bournemouth,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Mathieu Debuchy,30,Right-Back,G. Bordeaux,"End of loanJun 30, 2016",in,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Chuba Akpom,21,Centre-Forward,Brighton,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Krystian Bielik,19,Defensive Midfield,Birmingham,"End of loanMay 31, 2017",in,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Serge Gnabry,21,Right Winger,Werder Bremen,£4.50m,out,Summer,4.5,Premier League,2016,2016/2017
Arsenal FC,Wellington Silva,23,Right Winger,Fluminense,£2.70m,out,Summer,2.7,Premier League,2016,2016/2017
Arsenal FC,Jack Wilshere,24,Central Midfield,Bournemouth,Loan fee:£2.12m,out,Summer,2.12,Premier League,2016,2016/2017
Arsenal FC,Tomas Rosicky,35,Attacking Midfield,Sparta Prague,free transfer,out,Summer,NA,Premier League,2016,2016/2017
Arsenal FC,Joel Campbell,24,Right Winger,Sporting CP,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Arsenal FC,Takuma Asano,21,Right Winger,VfB Stuttgart,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Arsenal FC,Calum Chambers,21,Right-Back,Middlesbrough,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Arsenal FC,Mikel Arteta,34,Central Midfield,Retired,-,out,Summer,0,Premier League,2016,2016/2017
Arsenal FC,Mathieu Flamini,32,Defensive Midfield,Without Club,-,out,Summer,0,Premier League,2016,2016/2017
Tottenham Hotspur,Moussa Sissoko,27,Central Midfield,Newcastle,£31.50m,in,Summer,31.5,Premier League,2016,2016/2017
Tottenham Hotspur,Vincent Janssen,22,Centre-Forward,AZ Alkmaar,£19.80m,in,Summer,19.8,Premier League,2016,2016/2017
Tottenham Hotspur,Victor Wanyama,25,Defensive Midfield,Southampton,£12.96m,in,Summer,12.96,Premier League,2016,2016/2017
Tottenham Hotspur,Georges-Kevin N'Koudou,21,Left Winger,Marseille,£9.90m,in,Summer,9.9,Premier League,2016,2016/2017
Tottenham Hotspur,Pau López,21,Goalkeeper,Espanyol,Loan fee:£990Th.,in,Summer,0.99,Premier League,2016,2016/2017
Tottenham Hotspur,Cameron Carter-Vickers,18,Centre-Back,Tottenham U23,-,in,Summer,0,Premier League,2016,2016/2017
Tottenham Hotspur,Harry Winks,20,Defensive Midfield,Tottenham U23,-,in,Summer,0,Premier League,2016,2016/2017
Tottenham Hotspur,Federico Fazio,29,Centre-Back,Sevilla FC,"End of loanJun 30, 2016",in,Summer,0,Premier League,2016,2016/2017
Tottenham Hotspur,Ryan Mason,25,Central Midfield,Hull City,£13.86m,out,Summer,13.86,Premier League,2016,2016/2017
Tottenham Hotspur,Nacer Chadli,27,Left Winger,West Brom,£13.68m,out,Summer,13.68,Premier League,2016,2016/2017
Tottenham Hotspur,Alex Pritchard,23,Attacking Midfield,Norwich,£8.46m,out,Summer,8.46,Premier League,2016,2016/2017
Tottenham Hotspur,DeAndre Yedlin,23,Right-Back,Newcastle,£5.31m,out,Summer,5.31,Premier League,2016,2016/2017
Tottenham Hotspur,Federico Fazio,29,Centre-Back,AS Roma,Loan fee:£1.08m,out,Summer,1.08,Premier League,2016,2016/2017
Tottenham Hotspur,Nabil Bentaleb,21,Central Midfield,FC Schalke 04,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Tottenham Hotspur,Clinton N'Jie,23,Right Winger,Marseille,loan transfer,out,Summer,NA,Premier League,2016,2016/2017
Manchester City,John Stones,22,Centre-Back,Everton,£50.04m,in,Summer,50.04,Premier League,2016,2016/2017
Manchester City,Leroy Sané,20,Left Winger,FC Schalke 04,£46.80m,in,Summer,46.8,Premier League,2016,2016/2017
Manchester City,Ilkay Gündogan,25,Central Midfield,Bor. Dortmund,£24.30m,in,Summer,24.3,Premier League,2016,2016/2017
Manchester City,Claudio Bravo,33,Goalkeeper,Barcelona,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Nolito,29,Left Winger,Celta de Vigo,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Marlos Moreno,19,Right Winger,Atl. Nacional,£4.95m,in,Summer,4.95,Premier League,2016,2016/2017
Manchester City,Gerónimo Rulli,24,Goalkeeper,Maldonado,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
Manchester City,Oleksandr Zinchenko,19,Left-Back,Ufa,£1.80m,in,Summer,1.8,Premier League,2016,2016/2017
Manchester City,Pablo Marí,22,Centre-Back,Gimnàstic,£180Th.,in,Summer,0.18,Premier League,2016,2016/2017
Manchester City,Aaron Mooy,25,Central Midfield,Melbourne City,free transfer,in,Summer,NA,Premier League,2016,2016/2017
