club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Chelsea FC,Michael Essien,22,Defensive Midfield,Olympique Lyon,£34.20m,in,34.2,Premier League,2005,2005/2006
Chelsea FC,Shaun Wright-Phillips,23,Right Winger,Man City,£28.35m,in,28.35,Premier League,2005,2005/2006
Chelsea FC,Asier del Horno,24,Left-Back,Athletic,£10.80m,in,10.8,Premier League,2005,2005/2006
Chelsea FC,Slobodan Rajkovic,16,Centre-Back,OFK Beograd,£4.68m,in,4.68,Premier League,2005,2005/2006
Chelsea FC,Lassana Diarra,20,Defensive Midfield,AC Le Havre,£4.05m,in,4.05,Premier League,2005,2005/2006
Chelsea FC,Maniche,28,Central Midfield,Dinamo Moscow,Loan fee:£270k,in,0.27,Premier League,2005,2005/2006
Chelsea FC,Jimmy Smith,18,Central Midfield,Chelsea U18,-,in,0,Premier League,2005,2005/2006
Chelsea FC,Steven Watt,20,Centre-Back,Barnsley FC,"End of loanNov 1, 2005",in,0,Premier League,2005,2005/2006
Chelsea FC,Aleksey Smertin,30,Defensive Midfield,Charlton,"End of loanFeb 1, 2006",in,0,Premier League,2005,2005/2006
Chelsea FC,Jiri Jarosik,28,Centre-Back,Birmingham,"End of loanMay 1, 2006",in,0,Premier League,2005,2005/2006
Chelsea FC,Joe Keenan,22,Left-Back,Brentford,"End of loanSep 1, 2005",in,0,Premier League,2005,2005/2006
Chelsea FC,Wayne Bridge,25,Left-Back,Fulham,"End of loanMay 8, 2006",in,0,Premier League,2005,2005/2006
Chelsea FC,Lenny Pidgeley,21,Goalkeeper,Millwall,"End of loanDec 1, 2005",in,0,Premier League,2005,2005/2006
Chelsea FC,Hernán Crespo,29,Centre-Forward,AC Milan,"End of loanJun 30, 2005",in,0,Premier League,2005,2005/2006
Chelsea FC,Valerio Di Cesare,22,Centre-Back,UC AlbinoLeffe,"End of loanJun 30, 2005",in,0,Premier League,2005,2005/2006
Chelsea FC,Tiago,24,Central Midfield,Olympique Lyon,£9.09m,out,9.09,Premier League,2005,2005/2006
Chelsea FC,Mateja Kezman,26,Centre-Forward,Atlético Madrid,£8.10m,out,8.1,Premier League,2005,2005/2006
Chelsea FC,Scott Parker,24,Central Midfield,Newcastle,£8.10m,out,8.1,Premier League,2005,2005/2006
Chelsea FC,Mikael Forssell,24,Centre-Forward,Birmingham,£4.05m,out,4.05,Premier League,2005,2005/2006
Chelsea FC,Aleksey Smertin,30,Defensive Midfield,Dinamo Moscow,£1.35m,out,1.35,Premier League,2005,2005/2006
Chelsea FC,Wayne Bridge,25,Left-Back,Fulham,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Steven Watt,20,Centre-Back,Barnsley FC,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Slobodan Rajkovic,16,Centre-Back,OFK Beograd,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Jiri Jarosik,27,Centre-Back,Birmingham,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Joe Keenan,22,Left-Back,Brentford,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Steven Watt,20,Centre-Back,Swansea,Free Transfer,out,0,Premier League,2005,2005/2006
Chelsea FC,Lenny Pidgeley,21,Goalkeeper,Millwall,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Sebastian Kneißl,22,Attacking Midfield,W. Burghausen,Free Transfer,out,0,Premier League,2005,2005/2006
Chelsea FC,Nuno Morais,21,Defensive Midfield,Marítimo,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Valerio Di Cesare,22,Centre-Back,Catanzaro,Free Transfer,out,0,Premier League,2005,2005/2006
Chelsea FC,Joe Keenan,23,Left-Back,Willem II,Loan,out,0,Premier League,2005,2005/2006
Chelsea FC,Danny Woodards,22,Left-Back,Exeter City,Free Transfer,out,0,Premier League,2005,2005/2006
Chelsea FC,Filipe Oliveira,21,Right Winger,Marítimo,?,out,NA,Premier League,2005,2005/2006
Chelsea FC,Aleksey Smertin,30,Defensive Midfield,Charlton,Loan,out,0,Premier League,2005,2005/2006
Arsenal FC,Aleksandr Hleb,24,Attacking Midfield,VfB Stuttgart,£13.50m,in,13.5,Premier League,2005,2005/2006
