club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Coventry City,Matt Heath,23,Centre-Back,Leicester,£68k,in,0.068,Championship,2005,2005/2006
Coventry City,Dennis Wise,39,Defensive Midfield,Southampton,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Márton Fülöp,22,Goalkeeper,Spurs,Loan,in,0,Championship,2005,2005/2006
Coventry City,James Scowcroft,29,Centre-Forward,Leicester,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Don Hutchison,34,Attacking Midfield,Millwall,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Willo Flood,20,Central Midfield,Man City,Loan,in,0,Championship,2005,2005/2006
Coventry City,Andy Impey,33,Defensive Midfield,Nottm Forest,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Youssef Sofiane,21,Centre-Forward,West Ham,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Clayton Ince,32,Goalkeeper,Crewe Alexandra,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Richard Duffy,19,Centre-Back,Portsmouth,Loan,in,0,Championship,2005,2005/2006
Coventry City,Lilian Nalis,34,Central Midfield,Sheffield Utd.,Loan,in,0,Championship,2005,2005/2006
Coventry City,Paul Watson,30,Right-Back,Brighton,Free Transfer,in,0,Championship,2005,2005/2006
Coventry City,Stephen Bywater,24,Goalkeeper,West Ham,Loan,in,0,Championship,2005,2005/2006
Coventry City,Kevin Thornton,18,Defensive Midfield,Coventry U18,-,in,0,Championship,2005,2005/2006
Coventry City,Luke Webb,18,Central Midfield,Coventry U18,-,in,0,Championship,2005,2005/2006
Coventry City,Craig Reid,20,Centre-Forward,Tamworth,"End of loanMay 1, 2006",in,0,Championship,2005,2005/2006
Coventry City,Stern John,29,Centre-Forward,Derby,"End of loanDec 31, 2005",in,0,Championship,2005,2005/2006
Coventry City,Liam Davis,18,Left-Back,Coventry U18,-,in,0,Championship,2005,2005/2006
Coventry City,Ryan Lynch,18,Defender,Coventry U18,-,in,0,Championship,2005,2005/2006
Coventry City,Graham Barrett,24,Centre-Forward,Livingston FC,"End of loanMay 1, 2006",in,0,Championship,2005,2005/2006
Coventry City,Adrian Williams,34,Centre-Back,Millwall,"End of loanDec 1, 2005",in,0,Championship,2005,2005/2006
Coventry City,Jonathan Tuffey,18,Goalkeeper,Coventry U18,-,in,0,Championship,2005,2005/2006
Coventry City,Steve Staunton,36,Left-Back,Walsall,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Stern John,28,Centre-Forward,Derby,Loan,out,0,Championship,2005,2005/2006
Coventry City,Youssef Sofiane,21,Centre-Forward,AA La Louviere,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Patrick Suffo,27,Centre-Forward,Odd Grenland,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Scott Shearer,24,Goalkeeper,Bristol Rovers,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Graham Barrett,23,Centre-Forward,Livingston FC,Loan,out,0,Championship,2005,2005/2006
Coventry City,Neil Wood,22,Central Midfield,Blackpool,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Trevor Benjamin,26,Centre-Forward,Peterborough,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Ben Mackey,18,Centre-Forward,Linfield,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Adrian Williams,34,Centre-Back,Millwall,Loan,out,0,Championship,2005,2005/2006
Coventry City,Paul Watson,30,Right-Back,Woking FC,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Craig Reid,20,Centre-Forward,Tamworth,Loan,out,0,Championship,2005,2005/2006
Coventry City,Richard Brush,21,Goalkeeper,Shrewsbury,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Kevin Pressman,37,Goalkeeper,Mansfield Town,Free Transfer,out,0,Championship,2005,2005/2006
Coventry City,Tim Sherwood,36,Central Midfield,Retired,-,out,0,Championship,2005,2005/2006
Coventry City,Lilian Nalis,34,Central Midfield,Sheffield Utd.,"End of loanDec 31, 2005",out,0,Championship,2005,2005/2006
Coventry City,Sean Cooney,21,Defender,Retired,-,out,0,Championship,2005,2005/2006
Coventry City,Willo Flood,20,Central Midfield,Man City,"End of loanNov 1, 2005",out,0,Championship,2005,2005/2006
Coventry City,Richard Duffy,20,Centre-Back,Portsmouth,"End of loanMay 1, 2006",out,0,Championship,2005,2005/2006
Coventry City,Stephen Bywater,24,Goalkeeper,West Ham,"End of loanOct 1, 2005",out,0,Championship,2005,2005/2006
Coventry City,Shaun Goater,35,Centre-Forward,Reading,"End of loanJun 30, 2005",out,0,Championship,2005,2005/2006
Coventry City,Florent Laville,31,Centre-Back,Bolton,"End of loanJun 30, 2005",out,0,Championship,2005,2005/2006
Crystal Palace,Clinton Morrison,26,Centre-Forward,Birmingham,£2.70m,in,2.7,Championship,2005,2005/2006
Crystal Palace,Darren Ward,26,Centre-Back,Millwall,£1.49m,in,1.49,Championship,2005,2005/2006
Crystal Palace,Jon Macken,27,Centre-Forward,Man City,£900k,in,0.9,Championship,2005,2005/2006
Crystal Palace,Jobi McAnuff,23,Left Winger,Cardiff,£720k,in,0.72,Championship,2005,2005/2006
Crystal Palace,Sándor Torghelle,24,Centre-Forward,Panathinaikos,?,in,NA,Championship,2005,2005/2006
Crystal Palace,Arron Fray,18,Right-Back,Palace U18,-,in,0,Championship,2005,2005/2006
Crystal Palace,Tyrone Berry,18,Centre-Forward,Notts County,"End of loanOct 1, 2005",in,0,Championship,2005,2005/2006
Crystal Palace,Sam Togwell,21,Defensive Midfield,Port Vale,"End of loanMay 7, 2006",in,0,Championship,2005,2005/2006
Crystal Palace,Lewis Grabban,17,Centre-Forward,Palace U18,-,in,0,Championship,2005,2005/2006
Crystal Palace,Marco Reich,27,Left Midfield,Without Club,-,in,0,Championship,2005,2005/2006
Crystal Palace,Tommy Black,26,Right Midfield,Gillingham FC,"End of loanMay 1, 2006",in,0,Championship,2005,2005/2006
Crystal Palace,Wayne Routledge,20,Left Winger,Spurs,£2.70m,out,2.7,Championship,2005,2005/2006
Crystal Palace,Sándor Torghelle,23,Centre-Forward,Panathinaikos,£270k,out,0.27,Championship,2005,2005/2006
Crystal Palace,Joonas Kolkka,31,Right Winger,ADO Den Haag,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Vasilios Lakis,28,Right Midfield,AEK Athens,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Lance Cronin,19,Goalkeeper,Barnet,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Tyrone Berry,18,Centre-Forward,Notts County,Loan,out,0,Championship,2005,2005/2006
Crystal Palace,Tommy Black,26,Right Midfield,Gillingham FC,Loan,out,0,Championship,2005,2005/2006
Crystal Palace,Darren Powell,29,Centre-Back,Southampton,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Tyrone Berry,18,Centre-Forward,Rush. & Diamon.,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Neil Shipperley,30,Centre-Forward,Sheffield Utd.,Free Transfer,out,0,Championship,2005,2005/2006
Crystal Palace,Sam Togwell,21,Defensive Midfield,Port Vale,Loan,out,0,Championship,2005,2005/2006
Crystal Palace,Nicola Ventola,27,Centre-Forward,Inter,"End of loanJun 30, 2005",out,0,Championship,2005,2005/2006
Derby County,Darren Moore,31,Centre-Back,West Brom,£360k,in,0.36,Championship,2005,2005/2006
Derby County,Paul Thirlwell,26,Defensive Midfield,Sheffield Utd.,£180k,in,0.18,Championship,2005,2005/2006
Derby County,Marc Edworthy,32,Right-Back,Norwich,Free Transfer,in,0,Championship,2005,2005/2006
Derby County,Andrew Davies,20,Centre-Back,Middlesbrough,Loan,in,0,Championship,2005,2005/2006
Derby County,Kevin Lisbie,27,Centre-Forward,Charlton,Loan,in,0,Championship,2005,2005/2006
Derby County,Johnnie Jackson,23,Central Midfield,Spurs,Loan,in,0,Championship,2005,2005/2006
Derby County,Stern John,28,Centre-Forward,Coventry,Loan,in,0,Championship,2005,2005/2006
Derby County,Kevin Poole,41,Goalkeeper,Bolton,Free Transfer,in,0,Championship,2005,2005/2006
Derby County,Danny Graham,20,Centre-Forward,Middlesbrough,Loan,in,0,Championship,2005,2005/2006
Derby County,Mounir El Hamdaoui,21,Centre-Forward,Spurs,Loan,in,0,Championship,2005,2005/2006
Derby County,Michael McIndoe,26,Left Winger,Doncaster,Loan,in,0,Championship,2005,2005/2006
Derby County,Dean Holdsworth,36,Centre-Forward,Havant & Water.,Free Transfer,in,0,Championship,2005,2005/2006
Derby County,Dexter Blackstock,19,Centre-Forward,Southampton,Loan,in,0,Championship,2005,2005/2006
Derby County,Seth Johnson,26,Central Midfield,Leeds,Free Transfer,in,0,Championship,2005,2005/2006
