club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
AC Milan,Robinho,26,Second Striker,Man City,£16.20m,in,16.2,Serie A,2010,2010/2011
AC Milan,Zlatan Ibrahimovic,28,Centre-Forward,FC Barcelona,Loan fee:£5.40m,in,5.4,Serie A,2010,2010/2011
AC Milan,Sokratis,22,Centre-Back,Genoa,£4.05m,in,4.05,Serie A,2010,2010/2011
AC Milan,Alberto Paloschi,21,Centre-Forward,Genoa,£3.92m,in,3.92,Serie A,2010,2010/2011
AC Milan,Dídac Vilà,21,Left-Back,Espanyol,£3.60m,in,3.6,Serie A,2010,2010/2011
AC Milan,Kevin-Prince Boateng,23,Centre-Forward,Genoa,Loan fee:£2.70m,in,2.7,Serie A,2010,2010/2011
AC Milan,Urby Emanuelson,24,Central Midfield,Ajax,£2.25m,in,2.25,Serie A,2010,2010/2011
AC Milan,Antonio Cassano,28,Second Striker,Sampdoria,£1.53m,in,1.53,Serie A,2010,2010/2011
AC Milan,Cristian Daminuta,20,Defensive Midfield,Inter,£900k,in,0.9,Serie A,2010,2010/2011
AC Milan,Attila Filkor,22,Central Midfield,Inter,£900k,in,0.9,Serie A,2010,2010/2011
AC Milan,Mark van Bommel,33,Defensive Midfield,Bayern Munich,Free Transfer,in,0,Serie A,2010,2010/2011
AC Milan,Nicola Legrottaglie,34,Centre-Back,Juventus,Free Transfer,in,0,Serie A,2010,2010/2011
AC Milan,Mario Yepes,34,Centre-Back,Chievo Verona,Free Transfer,in,0,Serie A,2010,2010/2011
AC Milan,Marco Amelia,28,Goalkeeper,Genoa,Loan,in,0,Serie A,2010,2010/2011
AC Milan,Rodney Strasser,20,Defensive Midfield,Genoa,Loan,in,0,Serie A,2010,2010/2011
AC Milan,Bruno Montelongo,22,Right Midfield,River Plate,?,in,NA,Serie A,2010,2010/2011
AC Milan,Ferdinando Coppola,32,Goalkeeper,Atalanta,?,in,NA,Serie A,2010,2010/2011
AC Milan,Pierre-Emerick Aubameyang,21,Centre-Forward,Monaco,"End of loanJan 30, 2011",in,0,Serie A,2010,2010/2011
AC Milan,Alexander Merkel,18,Central Midfield,Milan U19,-,in,0,Serie A,2010,2010/2011
AC Milan,Luca Meregalli,19,Centre-Back,Pro Vercelli,"End of loanDec 1, 2010",in,0,Serie A,2010,2010/2011
AC Milan,Dominic Adiyiah,21,Right Winger,Reggina,"End of loanDec 31, 2010",in,0,Serie A,2010,2010/2011
AC Milan,William-Fils Aubameyang,23,Centre-Back,Monza,"End of loanDec 1, 2010",in,0,Serie A,2010,2010/2011
AC Milan,Nnamdi Oduamadi,19,Right Winger,Milan U19,-,in,0,Serie A,2010,2010/2011
