club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Bayer 04 Leverkusen,Markus Feldhoff,20,Centre-Forward,KFC Uerdingen,£1.80m,in,1.8,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Rodrigo,22,Defender,EC Vitória,£788k,in,0.788,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Ramon Menezes,23,Attacking Midfield,EC Vitória,£788k,in,0.788,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Carsten Ramelow,21,Defensive Midfield,Hertha BSC,£675k,in,0.675,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Holger Fach,32,Centre-Back,Bor. M'gladbach,£225k,in,0.225,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Sebastian Helbig,18,Centre-Forward,RW Erfurt U19,£90k,in,0.09,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Sebastian Barnes,18,Forward,Hearts of Oak,?,in,NA,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Andreas Thom,29,Centre-Forward,Celtic,£2.34m,out,2.34,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Heiko Scholz,29,Right Midfield,Werder Bremen,£1.13m,out,1.13,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Markus Kurth,21,Centre-Forward,1.FC Nuremberg,£495k,out,0.495,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Jens Melzig,29,Defender,Chemnitzer FC,£360k,out,0.36,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Tom Dooley,34,Centre-Back,FC Schalke 04,£180k,out,0.18,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Ralf Becker,24,Attacking Midfield,FC St. Pauli,Free Transfer,out,0,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Markus Anfang,21,Central Midfield,F. Düsseldorf,Free Transfer,out,0,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Pavel Hapal,25,Attacking Midfield,CD Tenerife,?,out,NA,1 Bundesliga,1995,1995/1996
Bayer 04 Leverkusen,Thomas Vana,22,Defensive Midfield,MSV Duisburg,?,out,NA,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Heiko Herrlich,23,Centre-Forward,Bor. M'gladbach,£4.95m,in,4.95,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Jürgen Kohler,29,Centre-Back,Juventus,£2.34m,in,2.34,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Rubén Sosa,29,Centre-Forward,Inter,£1.26m,in,1.26,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Jörg Heinrich,26,Left Midfield,SC Freiburg,£1.08m,in,1.08,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Patrik Berger,21,Attacking Midfield,Slavia Prag,£810k,in,0.81,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Carsten Wolters,25,Right-Back,Wattenscheid 09,£540k,in,0.54,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Toni Schumacher,42,Goalkeeper,Retired,-,in,0,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Ibrahim Tanko,17,Second Striker,B. Dortmund U19,-,in,0,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Ned Zelic,23,Defensive Midfield,QPR,£1.26m,out,1.26,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Marc Arnold,25,Attacking Midfield,Hertha BSC,?,out,NA,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Marco Kurz,26,Centre-Back,FC Schalke 04,Loan,out,0,1 Bundesliga,1995,1995/1996
Borussia Dortmund,Flemming Povlsen,28,Centre-Forward,Retired,-,out,0,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Stefan Effenberg,26,Central Midfield,Fiorentina,£3.42m,in,3.42,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Jörgen Pettersson,20,Left Winger,Malmö FF,£1.58m,in,1.58,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Michael Sternkopf,25,Right Midfield,Bayern Munich,£720k,in,0.72,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Max Huiberts,24,Left Winger,Roda JC,£585k,in,0.585,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Dirk Wolf,22,Left Midfield,E. Frankfurt,£315k,in,0.315,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Davor Krznaric,19,Attacking Midfield,TeBe Berlin,£45k,in,0.045,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Patrick Bauer,21,Goalkeeper,VfL Hamm/Sieg,?,in,NA,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Michael Frontzeck,31,Left-Back,VfL Bochum,?,in,NA,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Markus Hausweiler,19,Defensive Midfield,M'gladbach U19,-,in,0,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Marcel Ketelaer,17,Left Midfield,M'gladbach U19,-,in,0,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Thomas Eichin,28,Right-Back,1.FC Nuremberg,"End of loanJun 30, 1995",in,0,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Heiko Herrlich,23,Centre-Forward,Bor. Dortmund,£4.95m,out,4.95,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Bachirou Salou,24,Centre-Forward,MSV Duisburg,£540k,out,0.54,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Martin Max,26,Centre-Forward,FC Schalke 04,£540k,out,0.54,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Dietmar Hirsch,23,Defensive Midfield,MSV Duisburg,£270k,out,0.27,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Holger Fach,32,Centre-Back,Bay. Leverkusen,£225k,out,0.225,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Marc Beckers,21,Midfielder,F. Düsseldorf II,Free Transfer,out,0,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Dimo Wache,21,Goalkeeper,1.FSV Mainz 05,£45k,out,0.045,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Michael Frontzeck,31,Left-Back,Man City,?,out,NA,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Andreas Bluhm,21,Defender,Alem. Aachen,?,out,NA,1 Bundesliga,1995,1995/1996
Borussia Mönchengladbach,Stefan Effenberg,26,Central Midfield,Fiorentina,"End of loanJun 30, 1995",out,0,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Markus Schupp,29,Attacking Midfield,Bayern Munich,£900k,in,0.9,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Johnny Ekström,30,Centre-Forward,Dynamo Dresden,£630k,in,0.63,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Markos Rainer Rauffmann,28,Centre-Forward,SV Meppen,£428k,in,0.428,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Ivica Mornar,21,Centre-Forward,Hajduk Split,£225k,in,0.225,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,René Beuchel,21,Defensive Midfield,Dynamo Dresden,£180k,in,0.18,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Ned Zelic,24,Defensive Midfield,QPR,£99k,in,0.099,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Domenico Sbordone,25,Centre-Back,FC Augsburg,£68k,in,0.068,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Alexander Schur,23,Defensive Midfield,FSV Frankfurt,Free Transfer,in,0,1 Bundesliga,1995,1995/1996
Eintracht Frankfurt,Matthias Dworschak,21,Defensive Midfield,FC Eddersheim,Free Transfer,in,0,1 Bundesliga,1995,1995/1996
