league_name,league_id,country
premier-league,GB1,England
championship,GB2,England
primera-division,ES1,Spain
1-bundesliga,L1,Germany
serie-a,IT1,Italy
ligue-1,FR1,France
liga-nos,PO1,Portugal
eredivisie,NL1,Netherlands
premier-liga,RU1,Russia
