club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SL Benfica,Sidnei,22,Centre-Back,Besiktas,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Felipe Menezes,24,Attacking Midfield,Botafogo,"End of loanJun 1, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Ishmael Yartey,22,Left Winger,Servette FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Hélio Vaz,21,Right Winger,Atlético CP,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Lorenzo Melgarejo,21,Left Winger,Paços Ferreira,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Da Silva,24,Central Midfield,Belenenses,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Alan Kardec,23,Centre-Forward,Santos FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Élvis,21,Attacking Midfield,Leiria,"End of loanJun 1, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Daniel Wass,23,Central Midfield,Évian,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,José Shaffer,27,Left-Back,Leiria,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Carlos Martins,30,Attacking Midfield,Granada CF,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Nuno Coelho,24,Defensive Midfield,Beira-Mar,"End of loanJun 1, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Franco Jara,23,Centre-Forward,Granada CF,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Lionel Carole,21,Left-Back,CS Sedan,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Roderick Miranda,21,Centre-Back,Servette FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Jonathan Urretaviscaya,22,Right Winger,Vit. Guimarães,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Jan Oblak,19,Goalkeeper,Leiria,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Rodrigo Mora,24,Centre-Forward,Peñarol,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,David Simão,22,Central Midfield,Coimbra,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,José Luis Fernández,24,Central Midfield,Godoy Cruz,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Fábio Faria,23,Centre-Back,Rio Ave FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Enzo Pérez,26,Defensive Midfield,Estudiantes,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Felipe Menezes,25,Attacking Midfield,Sport Recife,"End of loanMay 1, 2013",in,Summer,0,Liga Nos,2012,2012/2013
SL Benfica,Axel Witsel,23,Defensive Midfield,Zenit S-Pb,£36.00m,out,Summer,36,Liga Nos,2012,2012/2013
SL Benfica,Javi García,25,Centre-Back,Man City,£18.18m,out,Summer,18.18,Liga Nos,2012,2012/2013
SL Benfica,Ishmael Yartey,22,Left Winger,FC Sochaux,£1.80m,out,Summer,1.8,Liga Nos,2012,2012/2013
SL Benfica,Émerson Conceição,26,Left-Back,Trabzonspor,£1.44m,out,Summer,1.44,Liga Nos,2012,2012/2013
SL Benfica,Fellipe Bastos,22,Central Midfield,Vasco da Gama,£1.35m,out,Summer,1.35,Liga Nos,2012,2012/2013
SL Benfica,Éder Luís,27,Right Winger,Vasco da Gama,£1.35m,out,Summer,1.35,Liga Nos,2012,2012/2013
SL Benfica,Daniel Wass,23,Central Midfield,Évian,£1.08m,out,Summer,1.08,Liga Nos,2012,2012/2013
SL Benfica,Nélson Oliveira,20,Centre-Forward,Dep. La Coruña,Loan fee:£540Th.,out,Summer,0.54,Liga Nos,2012,2012/2013
SL Benfica,Rodrigo Mora,24,Centre-Forward,River Plate,Loan fee:£360Th.,out,Summer,0.36,Liga Nos,2012,2012/2013
SL Benfica,Franco Jara,24,Centre-Forward,San Lorenzo,Loan fee:£338Th.,out,Summer,0.338,Liga Nos,2012,2012/2013
SL Benfica,Joan Capdevila,34,Left-Back,Espanyol,£315Th.,out,Summer,0.315,Liga Nos,2012,2012/2013
SL Benfica,Felipe Menezes,24,Attacking Midfield,Sport Recife,Loan fee:£90Th.,out,Summer,0.09,Liga Nos,2012,2012/2013
SL Benfica,Javier Saviola,30,Second Striker,Málaga CF,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Hugo Vieira,24,Centre-Forward,Sporting Gijón,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Nuno Coelho,24,Defensive Midfield,Aris Saloniki,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Michel,26,Centre-Forward,SC Braga,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Hélio Vaz,21,Right Winger,Leiria,?,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Yannick Djaló,26,Left Winger,Toulouse,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Djaniny,21,Centre-Forward,Olhanense,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Roderick Miranda,21,Centre-Back,Dep. La Coruña,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,David Simão,22,Central Midfield,Marítimo,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,Da Silva,24,Central Midfield,Ponte Preta,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SL Benfica,José Luis Fernández,24,Central Midfield,Olhanense,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
