club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Arsenal FC,John Hartson,19,Centre-Forward,Luton Town,£3.38m,in,3.38,Premier League,1994,1994/1995
Arsenal FC,Chris Kiwomya,25,Centre-Forward,Ipswich,£2.03m,in,2.03,Premier League,1994,1994/1995
Arsenal FC,Stefan Schwarz,25,Central Midfield,Benfica,£900k,in,0.9,Premier League,1994,1994/1995
Arsenal FC,Lee Harper,22,Goalkeeper,Sittingbourne FC,£162k,in,0.162,Premier League,1994,1994/1995
Arsenal FC,Glenn Helder,26,Left Winger,Vitesse,?,in,NA,Premier League,1994,1994/1995
Arsenal FC,Vince Bartram,25,Goalkeeper,Bournemouth,?,in,NA,Premier League,1994,1994/1995
Arsenal FC,Scott Marshall,21,Centre-Back,Sheffield Utd.,End of loan-,in,0,Premier League,1994,1994/1995
Arsenal FC,Matthew Rose,18,Defender,Arsenal U18,-,in,0,Premier League,1994,1994/1995
Arsenal FC,Jimmy Carter,29,Right Winger,Oxford United,"End of loanDec 31, 1994",in,0,Premier League,1994,1994/1995
Arsenal FC,Kevin Campbell,24,Centre-Forward,Nottm Forest,£3.78m,out,3.78,Premier League,1994,1994/1995
Arsenal FC,Paul Davis,33,Central Midfield,Stabæk,Loan,out,0,Premier League,1994,1994/1995
Arsenal FC,Paul Shaw,21,Centre-Forward,Burnley,Loan,out,0,Premier League,1994,1994/1995
Arsenal FC,Jimmy Carter,29,Right Winger,Oxford United,Loan,out,0,Premier League,1994,1994/1995
Arsenal FC,Scott Marshall,21,Centre-Back,Sheffield Utd.,Loan,out,0,Premier League,1994,1994/1995
Arsenal FC,Anders Limpar,29,Attacking Midfield,Everton,?,out,NA,Premier League,1994,1994/1995
Arsenal FC,Alan Miller,24,Goalkeeper,Middlesbrough,,out,NA,Premier League,1994,1994/1995
Nottingham Forest,Kevin Campbell,24,Centre-Forward,Arsenal,£3.78m,in,3.78,Premier League,1994,1994/1995
Nottingham Forest,Bryan Roy,24,Right Winger,Foggia,£2.25m,in,2.25,Premier League,1994,1994/1995
Nottingham Forest,Carl Tiler,25,Defender,Swindon Town,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Nottingham Forest,Craig Armstrong,19,Left Midfield,Burnley,"End of loanDec 31, 1994",in,0,Premier League,1994,1994/1995
Nottingham Forest,Gary Bull,28,Forward,Birmingham,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Nottingham Forest,Vance Warner,20,Defender,Nottingham U18,-,in,0,Premier League,1994,1994/1995
Nottingham Forest,Lee Glover,24,Forward,Port Vale,£216k,out,0.216,Premier League,1994,1994/1995
Nottingham Forest,Craig Armstrong,19,Left Midfield,Burnley,Loan,out,0,Premier League,1994,1994/1995
Nottingham Forest,Gary Crosby,30,Midfielder,Huddersfield,Free Transfer,out,0,Premier League,1994,1994/1995
Nottingham Forest,Kingsley Black,26,Left Midfield,Sheffield Utd.,Loan,out,0,Premier League,1994,1994/1995
Nottingham Forest,Brian Laws,33,Right-Back,Grimsby Town,Free Transfer,out,0,Premier League,1994,1994/1995
Nottingham Forest,Carl Tiler,24,Defender,Swindon Town,Loan,out,0,Premier League,1994,1994/1995
Nottingham Forest,Gary Bull,28,Forward,Birmingham,Loan,out,0,Premier League,1994,1994/1995
Newcastle United,Darren Peacock,26,Centre-Back,QPR,£4.50m,in,4.5,Premier League,1994,1994/1995
Newcastle United,Paul Kitson,23,Centre-Forward,Derby,£3.04m,in,3.04,Premier League,1994,1994/1995
Newcastle United,Keith Gillespie,19,Central Midfield,Man Utd,£1.35m,in,1.35,Premier League,1994,1994/1995
Newcastle United,Marc Hottiger,26,Right-Back,FC Sion,£720k,in,0.72,Premier League,1994,1994/1995
Newcastle United,Philippe Albert,26,Centre-Back,RSC Anderlecht,Free Transfer,in,0,Premier League,1994,1994/1995
Newcastle United,Jim Crawford,21,Midfielder,Bohemians,Free Transfer,in,0,Premier League,1994,1994/1995
Newcastle United,Richard Appleby,18,Midfielder,Newcastle U18,-,in,0,Premier League,1994,1994/1995
Newcastle United,Richard Appleby,19,Midfielder,Darlington,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Newcastle United,Mike Hooper,31,Goalkeeper,Sunderland,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Newcastle United,Andy Cole,23,Centre-Forward,Man Utd,£8.64m,out,8.64,Premier League,1994,1994/1995
Newcastle United,Mark Robinson,25,Defender,Swindon Town,£671k,out,0.671,Premier League,1994,1994/1995
Newcastle United,Liam O'Brien,29,Defensive Midfield,Tranmere Rovers,£383k,out,0.383,Premier League,1994,1994/1995
Newcastle United,Richard Appleby,18,Midfielder,Darlington,Loan,out,0,Premier League,1994,1994/1995
Newcastle United,Nikodimos Papavasiliou,24,Left Winger,OFI Crete,?,out,NA,Premier League,1994,1994/1995
Newcastle United,Mike Hooper,30,Goalkeeper,Sunderland,Loan,out,0,Premier League,1994,1994/1995
Newcastle United,Kevin Brock,32,Midfielder,Stockport,?,out,NA,Premier League,1994,1994/1995
Newcastle United,Mike Hooper,31,Goalkeeper,Retired,-,out,0,Premier League,1994,1994/1995
Crystal Palace,Darren Pitcher,24,Defender,Charlton,£801k,in,0.801,Premier League,1994,1994/1995
Crystal Palace,Iain Dowie,30,Centre-Forward,Southampton,£450k,in,0.45,Premier League,1994,1994/1995
Crystal Palace,Ray Houghton,33,Central Midfield,Aston Villa,£323k,in,0.323,Premier League,1994,1994/1995
Crystal Palace,Rhys Wilmot,32,Goalkeeper,Grimsby Town,?,in,NA,Premier League,1994,1994/1995
Crystal Palace,Ray Wilkins,37,Central Midfield,QPR,?,in,NA,Premier League,1994,1994/1995
Crystal Palace,Glen Little,18,Right Winger,Palace U18,-,in,0,Premier League,1994,1994/1995
Crystal Palace,Tony Scully,18,Midfielder,Bournemouth,"End of loanNov 1, 1994",in,0,Premier League,1994,1994/1995
Crystal Palace,Paul Williams,29,Forward,Sunderland,"End of loanFeb 19, 1995",in,0,Premier League,1994,1994/1995
Crystal Palace,Jason Harris,18,Forward,Dover Athletic,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Crystal Palace,Jason Harris,17,Forward,Palace U18,-,in,0,Premier League,1994,1994/1995
Crystal Palace,Paul Williams,29,Forward,Birmingham,"End of loanMay 31, 1995",in,0,Premier League,1994,1994/1995
Crystal Palace,Steven Thomson,16,Central Midfield,Palace U18,-,in,0,Premier League,1994,1994/1995
Crystal Palace,David Whyte,23,Forward,Charlton,£513k,out,0.513,Premier League,1994,1994/1995
Crystal Palace,Paul Mortimer,26,Midfielder,Charlton,£226k,out,0.226,Premier League,1994,1994/1995
Crystal Palace,Simon Osborn,22,Central Midfield,Reading,£135k,out,0.135,Premier League,1994,1994/1995
Crystal Palace,Paul Williams,29,Forward,Birmingham,Loan,out,0,Premier League,1994,1994/1995
Crystal Palace,Stuart Massey,29,Midfielder,Oxford United,Free Transfer,out,0,Premier League,1994,1994/1995
Crystal Palace,Paul Williams,29,Forward,Sunderland,Loan,out,0,Premier League,1994,1994/1995
Crystal Palace,Jamie Vincent,19,Left-Back,Bournemouth,£36k,out,0.036,Premier League,1994,1994/1995
Crystal Palace,Tony Scully,18,Midfielder,Bournemouth,Loan,out,0,Premier League,1994,1994/1995
Crystal Palace,Jason Harris,18,Forward,Dover Athletic,Loan,out,0,Premier League,1994,1994/1995
Crystal Palace,Andy Thorn,27,Centre-Back,Wimbledon FC,?,out,NA,Premier League,1994,1994/1995
Crystal Palace,Niall Thompson,20,Forward,Colchester Utd.,?,out,NA,Premier League,1994,1994/1995
Manchester United,Andy Cole,23,Centre-Forward,Newcastle,£8.64m,in,8.64,Premier League,1994,1994/1995
Manchester United,David May,24,Centre-Back,Blackburn,£1.89m,in,1.89,Premier League,1994,1994/1995
Manchester United,Graeme Tomlinson,18,Forward,Bradford,£108k,in,0.108,Premier League,1994,1994/1995
Manchester United,Grant Brebner,16,Defensive Midfield,Hutchison Vale BC,?,in,NA,Premier League,1994,1994/1995
Manchester United,Ronnie Wallwork,16,Central Midfield,Man Utd U18,-,in,0,Premier League,1994,1994/1995
Manchester United,David Johnson,17,Left Winger,Man Utd U18,-,in,0,Premier League,1994,1994/1995
Manchester United,Gary Neville,19,Right-Back,Man Utd U18,-,in,0,Premier League,1994,1994/1995
Manchester United,Nicky Butt,19,Central Midfield,Man Utd U18,-,in,0,Premier League,1994,1994/1995
Manchester United,Colin Murdock,18,Centre-Back,Man Utd U18,-,in,0,Premier League,1994,1994/1995
Manchester United,Paul Scholes,19,Central Midfield,Man Utd U23,-,in,0,Premier League,1994,1994/1995
