club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Bayern Munich,Alphonso Davies,18,Left Winger,Vancouver,£9.00m,in,9,1 Bundesliga,2018,2018/2019
Bayern Munich,Leon Goretzka,23,Central Midfield,FC Schalke 04,Free Transfer,in,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Ron-Thorben Hoffmann,19,Goalkeeper,FC Bayern U19,-,in,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Douglas Costa,27,Right Winger,Juventus,"End of loanJun 30, 2018",in,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Renato Sanches,20,Central Midfield,Swansea,"End of loanJun 30, 2018",in,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Serge Gnabry,22,Right Winger,TSG Hoffenheim,"End of loanJun 30, 2018",in,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Douglas Costa,27,Right Winger,Juventus,£36.00m,out,36,1 Bundesliga,2018,2018/2019
Bayern Munich,Arturo Vidal,31,Central Midfield,FC Barcelona,£16.20m,out,16.2,1 Bundesliga,2018,2018/2019
Bayern Munich,Sebastian Rudy,28,Defensive Midfield,FC Schalke 04,£14.40m,out,14.4,1 Bundesliga,2018,2018/2019
Bayern Munich,Sandro Wagner,31,Centre-Forward,TJ Teda,£4.50m,out,4.5,1 Bundesliga,2018,2018/2019
Bayern Munich,Juan Bernat,25,Left-Back,Paris SG,£4.50m,out,4.5,1 Bundesliga,2018,2018/2019
Bayern Munich,Niklas Dorsch,20,Defensive Midfield,1.FC Heidenheim,Free Transfer,out,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Felix Götze,20,Defensive Midfield,FC Augsburg,Free Transfer,out,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Fabian Benko,20,Attacking Midfield,LASK,Free Transfer,out,0,1 Bundesliga,2018,2018/2019
Bayern Munich,Tom Starke,37,Goalkeeper,Retired,-,out,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Sebastian Rudy,28,Defensive Midfield,Bayern Munich,£14.40m,in,14.4,1 Bundesliga,2018,2018/2019
FC Schalke 04,Suat Serdar,21,Central Midfield,1.FSV Mainz 05,£9.45m,in,9.45,1 Bundesliga,2018,2018/2019
FC Schalke 04,Omar Mascarell,25,Defensive Midfield,Real Madrid,£9.00m,in,9,1 Bundesliga,2018,2018/2019
FC Schalke 04,Rabbi Matondo,18,Right Winger,Man City U23,£8.10m,in,8.1,1 Bundesliga,2018,2018/2019
FC Schalke 04,Salif Sané,27,Centre-Back,Hannover 96,£6.30m,in,6.3,1 Bundesliga,2018,2018/2019
FC Schalke 04,Hamza Mendyl,20,Left-Back,LOSC Lille,£5.40m,in,5.4,1 Bundesliga,2018,2018/2019
FC Schalke 04,Steven Skrzybski,25,Right Winger,Union Berlin,£2.88m,in,2.88,1 Bundesliga,2018,2018/2019
FC Schalke 04,Jeffrey Bruma,27,Centre-Back,VfL Wolfsburg,Loan,in,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Mark Uth,26,Centre-Forward,TSG Hoffenheim,Free Transfer,in,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Nassim Boujellab,19,Central Midfield,Schalke 04 II,-,in,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Benjamin Goller,19,Right Winger,Schalke 04 U19,-,in,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Ahmed Kutucu,18,Centre-Forward,Schalke 04 U19,-,in,0,1 Bundesliga,2018,2018/2019
FC Schalke 04,Donis Avdijaj,21,Left Winger,Roda JC,"End of loanJun 30, 2018",in,0,1 Bundesliga,2018,2018/2019
